name,salary_from,salary_to,currency,city,link,discription
персональный водитель,150000,150000,RUR,Москва,https://hh.ru/vacancy/111606169,"Транспортное сопровождение руководителя и его семьи. Безопасное управление автомобилем (внедорожник). Своевременная заправка, мойка автомобиля, замена колес и т.п.. "
водитель персональный,130000,160000,RUR,Москва,https://hh.ru/vacancy/111586929,Возить рeбeнка. -Tpансфеpы в и с аэропоpтов.
персональный\семейный водитель,130000,,RUR,Москва,https://hh.ru/vacancy/111587621,"Обеспечивать эксплуатацию автомобиля в технически исправном состоянии. Принимать меры по сохранности автомобиля и имущества, находящегося в нем. Своевременно проходить техническое..."
водитель в семью,5000000,7000000,UZS,Ташкент,https://hh.ru/vacancy/111434011,Подача авто в указанное место четко в установленный срок. Хранение транспортного средства в назначенных местах. Поддержание транспорта в чистоте и...
водитель,500000,800000,KZT,Костанай,https://hh.ru/vacancy/111296989,<highlighttext>Водитель</highlighttext> на шахман с прицепом.
водитель грузового автомобиля в категории,2000,,BYR,Брест,https://hh.ru/vacancy/111234621,Доставка продукции заказчикам. Погрузочно- разгрузочные работы.
водитель персональный,300000,300000,KZT,Алматы,https://hh.ru/vacancy/111521791,Следить за техническим и внешним состоянием вверенного автомобиля. Своевременно проводить техосмотр автомобиля. Своевременная страховка автомобиля. Знание города. Сопровождение руководителя в...
водитель персональный,500000,800000,KZT,Алматы,https://hh.ru/vacancy/109899283,"4. Полное соблюдение правил компании. 5. Открытие ИП. Открытие, уплата налогов, сдача отчетности первые 6 месяцев за счет компании. "
"водитель категории с, е (допог, перевозка гсм)",253599,,RUR,Магадан,https://hh.ru/vacancy/111112679,"Перевозка бензин, дизельное топливо, керосин. Обслуживание автомобиля."
водитель легкового автомобиля,60000,60000,RUR,Томск,https://hh.ru/vacancy/111568036,"Содержание авто в чистоте и порядке. Исключение употребления лекарств, препаратов, способных повлиять на работоспособность <highlighttext>водителя</highlighttext>. Выполнение распоряжений и поручений непосредственного..."
водитель,300000,350000,KZT,Алматы,https://hh.ru/vacancy/111521639,Развозить продукцию по точкам. Выполнять все поставленные заявки.
персональный водитель,130000,140000,RUR,Москва,https://hh.ru/vacancy/111535035,Обеспечение транспортного сопровождения по Москве. Подача авто в назначенное время и место. Содержание автомобиля в чистоте и порядке. 
водитель категории в,60000,,RUR,Новокузнецк,https://hh.ru/vacancy/111568929,"Перевозка груза, документов на автомобиле Газель."
семейный водитель,90000,,RUR,Красноярск,https://hh.ru/vacancy/111497583,Умение безопасно и комфортно осуществлять вождение автомобиля на дорогах. Подача автомобиля по требованию заказчиков в назначенное время и место для...
водитель,2500,,BYR,Гомель,https://hh.ru/vacancy/111159349,Перевозка пассажиров. Соблюдение ПДД. *Рассрочка на установку газового оборудования. Подключение к сервису Яндекс такси. Аренда авто.
водитель,250000,300000,KZT,Алматы,https://hh.ru/vacancy/111543699,"Персональная перевозка руководителя по заданным маршрутам (работа, встречи и т.д.). Поддержание автомобиля в чистоте и исправном техническом состоянии. "
семейный водитель,130000,130000,RUR,Москва,https://hh.ru/vacancy/111599053,"Сопровождение семьи (школа, кружки, секции). Сервис, мойка автомобиля. Личные поручения."
водитель/перегонщик автомобилей,1800,3000,BYR,Минск,https://hh.ru/vacancy/111344305,перегон автомобилей в Минске между складами.
водитель,,400000,KZT,Астана,https://hh.ru/vacancy/110035124,"Provide courteous, safe, and efficient transportation for the Ambassador and authorized personnel. - Prioritize safety by adhering to all road and..."
водитель,2500,,BYR,Минск,https://hh.ru/vacancy/111492678,"Развозить продукцию (йогурт, вода, чипсы), ассортимент маленький по магазинам. Также развозим продукты по кафе, ресторанам."
водитель,300000,500000,KZT,Алматы,https://hh.ru/vacancy/111512128,"Развозка товаров розничным покупателям. Прием денег. Передача товаров клиенту. Забор товаров со складов, сдача на склады."
персональный/семейный водитель,150000,150000,RUR,Москва,https://hh.ru/vacancy/111526633,Выполнение обязанностей персонального <highlighttext>водителя</highlighttext> (иногда выполнение поручений как семейный <highlighttext>водитель</highlighttext>). Выбор оптимального маршрута. Поддержание автомобиля в чистоте и исправном техническом...
водитель,350000,400000,KZT,Алматы,https://hh.ru/vacancy/111478154,Своевременная доставка клиентам заказов. Ведение отчётов о проделанной работе. Работа в мобильном приложении.
водитель-экспедитор категории b,85000,,RUR,Челябинск,https://hh.ru/vacancy/111509505,"Доставлять товар (аккумуляторные батареи, шины) и документацию по торговым точкам компании и клиентам. Следить за техническим состоянием закрепленных автомобилей (мелкосрочный..."
водитель автомобиля (офис),2200,2200,BYR,Минск,https://hh.ru/vacancy/111348785,Доставка сотрудников компании. Выполнение курьерских поручений по г.Минску (доставка документов). Однодневные командировки по РБ.
водитель,35000,,KGS,Бишкек,https://hh.ru/vacancy/111377594,Посещение торговых точек. Погрузка и разгрузка товаров.
